Nome,Área,Área ID,Lattes ID,Perfil ID,Perfil URL
Airton Nabarrete,Projeto Aeronáutico,eam1,K4707083U5,airton-nabarrete,/pt/professores/airton-nabarrete/
Alfredo R. de Faria,Projeto Aeronáutico,eam1,5988213006092748,alfredo-r-de-faria,/pt/professores/alfredo-r-de-faria/
André Fernando C. Silva,Projeto Aeronáutico,eam1,1875030810675092,andre-fernando-c-silva,/pt/professores/andre-fernando-c-silva/
André V. G. Cavalieri,Projeto Aeronáutico,eam1,7408314572212776,andre-v-g-cavalieri,/pt/professores/andre-v-g-cavalieri/
Antônio B. Guimarães Neto,Projeto Aeronáutico,eam1,9033052561624561,antonio-b-guimaraes-neto,/pt/professores/antonio-b-guimaraes-neto/
Davi A. dos Santos,Projeto Aeronáutico,eam1,3138586796040473,davi-a-dos-santos,/pt/professores/davi-a-dos-santos/
Domingos A. Rade,Projeto Aeronáutico,eam1,3356131637634546,domingos-a-rade,/pt/professores/domingos-a-rade/
Flávio Luiz C. Ribeiro,Projeto Aeronáutico,eam1,8718918697253341,flavio-luiz-c-ribeiro,/pt/professores/flavio-luiz-c-ribeiro/
Flávio Luiz da S. Bussamra,Projeto Aeronáutico,eam1,0616738413255391,flavio-luiz-da-s-bussamra,/pt/professores/flavio-luiz-da-s-bussamra/
Luiz Arthur Gagg Filho,Projeto Aeronáutico,eam1,9825837021319880,luiz-arthur-gagg-filho,/pt/professores/luiz-arthur-gagg-filho/
Luiz Carlos Sandoval Góes,Projeto Aeronáutico,eam1,4548734294382889,luiz-carlos-sandoval-goes,/pt/professores/luiz-carlos-sandoval-goes/
Maisa de Oliveira Terra,Projeto Aeronáutico,eam1,3146715847594279,maisa-de-oliveira-terra,/pt/professores/maisa-de-oliveira-terra/
Mariano Andrés Arbelo,Projeto Aeronáutico,eam1,2066379668710621,mariano-andres-arbelo,/pt/professores/mariano-andres-arbelo/
Mauricio V. Donadon,Projeto Aeronáutico,eam1,1493239952726031,mauricio-v-donadon,/pt/professores/mauricio-v-donadon/
