eid,title,year,date,journal,subtype,subtype_description,doi,cited_by,volume,issue,page_range,source_id
2-s2.0-85210484189,Rotational shallow water equations with viscous damping and boundary control: structure-preserving spatial discretization,2025,2025-06-01,Mathematics of Control Signals and Systems,ar,Article,10.1007/s00498-024-00404-6,0,37,2,361-394,19202
2-s2.0-85202295574,"Port-Hamiltonian formulations for the modeling, simulation and control of fluids",2024,2024-10-30,Computers and Fluids,re,Review,10.1016/j.compfluid.2024.106407,6,283,,,18160
2-s2.0-85206079827,Surrogate Modeling of a Lumped-Mass Multibody Structure Using Hamiltonian Neural Networks,2024,2024-06-01,IFAC Papersonline,cp,Conference Paper,10.1016/j.ifacol.2024.08.255,2,58,6,48-53,21100456158
2-s2.0-85206071376,A port-Hamiltonian model of airplane longitudinal dynamics,2024,2024-06-01,IFAC Papersonline,cp,Conference Paper,10.1016/j.ifacol.2024.08.268,0,58,6,125-130,21100456158
2-s2.0-85204218216,Simultaneous Estimation of Engine Deck and Drag Polar Based on Specific Excess Power Measurement,2024,2024-01-01,AIAA Aviation Forum and Ascend 2024,cp,Conference Paper,10.2514/6.2024-4561,0,,,,21101248580
2-s2.0-105019507117,COMPARATIVE ANALYSIS OF FLIGHT MANEUVER LOADS BETWEEN FLEXIBLE AND RIGID AIRCRAFT,2024,2024-01-01,International Forum on Aeroelasticity and Structural Dynamics Ifasd 2024,cp,Conference Paper,,0,,,,21101342183
2-s2.0-105019500323,RAYLEIGH-RITZ METHOD WITH MULTIBODY DYNAMICS FOR HIGHLY FLEXIBLE STRUCTURES,2024,2024-01-01,International Forum on Aeroelasticity and Structural Dynamics Ifasd 2024,cp,Conference Paper,,0,,,,21101342183
2-s2.0-105019491346,IDENTIFICATION OF FLEXIBLE AIRCRAFT PARAMETERS WITH VARYING FLEXIBILITY CONFIGURATIONS: INTEGRATING ELASTIC EFFECTS AND SENSOR DATA,2024,2024-01-01,International Forum on Aeroelasticity and Structural Dynamics Ifasd 2024,cp,Conference Paper,,0,,,,21101342183
2-s2.0-105019491057,SURROGATE MODELING OF HIGHLY FLEXIBLE STRUCTURES AND AERODYNAMICS USING NEURAL NETWORKS,2024,2024-01-01,International Forum on Aeroelasticity and Structural Dynamics Ifasd 2024,cp,Conference Paper,,0,,,,21101342183
2-s2.0-85144539481,Flexible Aircraft Simulation Validation with Flight Test Data,2023,2023-01-01,AIAA Journal,ar,Article,10.2514/1.J060960,17,61,1,285-304,29964
